Srno,Address,Beds,bathroom,PropertyType,Balcony,City,BHKType
1,"1813 24th Ave Unit A, Seattle, WA 98122",2,2,Home,1,"Seattle, WA",1
2,"9518 Interlake Ave N, Seattle, WA 98103",3,2,Home,1,"Seattle, WA",1
3,"1817 24th Ave Unit A, Seattle, WA 98122",3,3,Home,1,"Seattle, WA",1
4,"2206 28th Ave W, Seattle, WA 98199",3,1,Home,1,"Seattle, WA",1
5,"912 Martin Luther King Jr Way S, Seattle, WA 98144",2,1,Home,1,"Seattle, WA",1
6,"4245 NE 89th St, Seattle, WA 98115",2,2.5,Home,1,"Seattle, WA",1
7,"6755 25th Ave NW, Seattle, WA 98117",4,1,Home,1,"Seattle, WA",1
8,"4539 21st Ave SW, Seattle, WA 98106",2,2.5,Home,1,"Seattle, WA",1
9,"2904 W Bertona St, Seattle, WA 98199",1,3.5,Home,1,"Seattle, WA",1
10,"2911 2nd Ave #319, Seattle, WA 98121",1,2,Home,1,"Seattle, WA",1
11,"2420 Westlake Ave N #11, Seattle, WA 98109",5,1,Home,1,"Seattle, WA",1
12,"9071 Matthews Ave NE, Seattle, WA 98115",1,1,Home,1,"Seattle, WA",1
13,"7500 D 15th Ave NW, Seattle, WA 98117",4,1,Home,1,"Seattle, WA",1
14,"2033 11th Ave E, Seattle, WA 98102",5,1,Home,1,"Seattle, WA",1
15,"8418 46th Ave SW, Seattle, WA 98136",1,2.5,Home,1,"Seattle, WA",1
16,"919 2nd Ave W #205, Seattle, WA 98119",3,1,Home,1,"Seattle, WA",1
17,"7101 Highland Park Way SW, Seattle, WA 98106",3,3,Home,0,"Seattle, WA",1
18,"4457 50th Ave SW, Seattle, WA 98116",3,1,Home,0,"Seattle, WA",1
19,"4220 Evanston Ave N Unit A, Seattle, WA 98103",2,2,Home,0,"Seattle, WA",1
20,"1770 19th Ave S Unit C, Seattle, WA 98144",4,3.5,Home,0,"Seattle, WA",1
21,"12021 64th Ave S, Seattle, WA 98178",3,1,Home,0,"Seattle, WA",1
22,"2101 3rd Ave W, Seattle, WA 98119",1,2,Home,0,"Seattle, WA",1
23,"2440 Western Ave #513, Seattle, WA 98121",3,1.5,Home,0,"Seattle, WA",1
24,"3701 Magnolia Blvd W, Seattle, WA 98199",4,2,Home,0,"Seattle, WA",1
25,"2133 6th Ave W #1, Seattle, WA 98119",2,3.5,Home,0,"Seattle, WA",1
26,"9522 1st Ave NE Unit A1, Seattle, WA 98115",6,2,Home,0,"Seattle, WA",1
27,"2023 24th Ave E, Seattle, WA 98112",3,1.5,Home,0,"Seattle, WA",1
28,"545 S 111th St, Seattle, WA 98168",2,2,Home,2,"Seattle, WA",1
29,"644 NW 85th St, Seattle, WA 98117",2,1.5,Home,2,"Seattle, WA",1
30,"2172 SW Elmgrove St, Seattle, WA 98106",2,2.5,Home,2,"Seattle, WA",1
31,"2721 1st Ave #505, Seattle, WA 98121",1,2.5,Home,2,"Seattle, WA",1
32,"2960 Eastlake Ave E #312, Seattle, WA 98102",5,2.5,Home,2,"Seattle, WA",1
33,"1128 N 77th St, Seattle, WA 98103",3,1,Home,2,"Seattle, WA",1
34,"2601 46th Ave SW, Seattle, WA 98116",3,1,Home,2,"Seattle, WA",1
35,"1430 1st Ave N #4, Seattle, WA 98109",3,5,Home,2,"Seattle, WA",1
