CarpetArea,Pricepersqft,priceinr,Status,YearBuilt,floor
889,602,50039,ready,2008,3
1225,694,57686,ready,2008,3
1470,531,44137,ready,2008,3
958,583,48459,ready,2008,3
729,760,63172,ready,2008,3
643,497,41311,ready,2008,3
1980,783,65083,ready,2008,3
1873,511,42475,ready,2008,3
383,424,35243,ready,2008,3
1760,500,41560,ready,2008,3
3028,565,46963,ready,2008,3
2360,441,36656,ready,2008,3
3062,662,55026,ready,2008,3
1350,629,52283,ready,2008,3
5120,459,38153,ready,2008,3
1540,843,70071,ready,2008,3
4250,505,41976,ready,2008,3
904,550,45716,ready,2008,3
740,458,38069,ready,2008,3
795,673,55940,ready,2008,3
2780,557,46298,ready,2008,3
8400,613,50953,ready,2008,3
800,638,53031,ready,2008,3
5250,482,40064,ready,2008,3
1950,650,54028,ready,2008,3
8300,605,50288,ready,2008,3
854,815,67743,ready,2008,3
2830,388,32251,ready,2008,3
4000,780,64834,ready,2008,3
3790,574,47711,ready,2008,3
5100,584,48543,ready,2008,3
716,642,53364,ready,20019,3
1182,614,51036,ready,20019,3
907,378,31420,ready,20019,3
1090,487,40480,ready,20019,3
928,409,33997,ready,20019,3
1141,1004,83453,ready,20019,3
3071,478,39732,ready,20019,3
3751,494,41062,ready,20019,3
925,608,50537,ready,20019,3
458,573,47628,ready,20019,3
1208,313,26017,ready,20019,3
2510,758,63005,ready,20019,3
3880,537,44636,ready,20019,3
832,933,77551,ready,20019,3
4898,454,37737,ready,20019,3
1220,719,59764,ready,20019,3
824,506,42059,ready,20019,3
3680,513,42641,ready,20019,3
5100,385,32002,ready,20019,3
1510,730,60678,ready,20019,3
2386,649,53945,ready,20019,3
446,758,63005,ready,20019,3
1620,874,72647,ready,20019,3
6600,503,41810,ready,20019,3
2669,403,33498,ready,20019,3
3000,1252,104067,ready,20019,3
1742,1545,128421,ready,20019,3
6138,634,52699,ready,20019,3
1588,408,33913,ready,20019,3
3840,437,36324,ready,20019,3
1400,503,41810,ready,20019,3
1000,353,29342,ready,20019,3
1760,546,45384,ready,20019,3
4141,374,31087,ready,20019,3
888,640,53197,ready,20019,3
1040,494,41062,ready,20019,3
1848,551,45800,ready,20019,3
1,441,36656,ready,20019,3
1080,554,46049,ready,20019,3
726,698,58018,ready,20019,3
654,549,45633,ready,20019,3
1475,633,52615,ready,20019,3
760,661,54943,ready,20019,3
1221,462,38402,ready,20019,3
6038,572,47545,ready,20019,3
1285,695,57769,ready,20019,3
1900,474,39399,ready,20019,3
6120,631,52449,ready,20019,3
