buytotalprice,carparking,Typeofownership,Facing,Bookingamount,FurnishingStatus
535000,yes, individual,east,1000,Semi furnished
850000,yes, individual,east,1000,Semi furnished
780000,yes, individual,east,1000,Semi furnished
425000,yes, individual,east,1000,Semi furnished
488500,yes, individual,east,1000,Semi furnished
985000,yes, individual,east,1000,Semi furnished
299950,yes, individual,east,1000,Semi furnished
899999,yes, individual,east,1000,Semi furnished
999995,yes, individual,east,1000,Semi furnished
675000,yes, individual,east,1000,Semi furnished
870000,yes, individual,east,1000,Semi furnished
399000,yes, individual,east,1000,Semi furnished
489999,yes, individual,east,1000,Semi furnished
500000,yes, individual,east,1000,Semi furnished
1275000,yes, individual,east,1000,Semi furnished
674000,yes, individual,east,1000,Semi furnished
985000,yes, individual,east,1000,Semi furnished
470000,yes, individual,east,1000,Semi furnished
1295000,yes, individual,east,1000,Semi furnished
2550000,yes, individual,east,1000,Semi furnished
399000,yes, individual,east,1000,Semi furnished
724900,yes, individual,east,2000,Semi furnished
695000,yes, individual,east,2000,Semi furnished
549950,yes, individual,east,2000,Semi furnished
1995000,yes, individual,east,2000,Semi furnished
559950,yes, individual,east,2000,Semi furnished
985000,yes, individual,east,2000,Semi furnished
975000,yes, individual,east,2000,Semi furnished
649000,yes, individual,east,2000,Semi furnished
699950,yes, individual,east,2000,Semi furnished
2150000,yes, individual,east,2000,Semi furnished
969000,yes, individual,east,2000,Semi furnished
274000,yes, individual,east,2000,Semi furnished
612000,yes, individual,east,2000,Semi furnished
1300000,yes, individual,east,2000,Semi furnished
712500,yes, individual,east,2000,Semi furnished
1595000,yes, individual,east,2000,Semi furnished
669000,yes, individual,east,2000,Semi furnished
870000,yes, individual,east,2000,Semi furnished
540000,yes, individual,east,2000,Semi furnished
325000,yes, individual,east,2000,Semi furnished
1399950,yes, individual,east,2000,Semi furnished
579900,yes, individual,east,2000,Semi furnished
610000,yes, individual,east,2000,Semi furnished
669000,yes, individual,east,2000,Semi furnished
878500,yes, individual,east,2000,Semi furnished
649880,yes, individual,east,2000,Semi furnished
975000,yes, individual,east,2000,Semi furnished
1399000,yes, individual,east,2000,Semi furnished
2870000,yes, individual,east,2000,Semi furnished
1795000,yes, individual,east,2000,Semi furnished
1139950,yes, individual,east,2000,Semi furnished
3498000,yes, individual,east,2000,Semi furnished
399900,yes, individual,east,2000,Semi furnished
